area,bedrooms,bathrooms,age,parking,location,furnishing,price
3247,4,1,18,2,Urban,Furnished,10265430
1475,2,3,16,0,Rural,Semi-Furnished,4534515
2306,2,1,6,0,Rural,Semi-Furnished,7083206
689,1,1,20,2,Suburban,Semi-Furnished,2211605
3505,2,2,19,0,Urban,Furnished,10923240
3234,5,1,25,2,Rural,Semi-Furnished,9927586
3505,3,3,3,0,Urban,Semi-Furnished,10930186
1062,1,1,13,1,Urban,Semi-Furnished,3436928
2399,2,3,19,0,Urban,Unfurnished,7597264
1767,1,1,21,1,Suburban,Unfurnished,5492087
3379,1,1,14,1,Urban,Furnished,10526029
2028,3,1,23,1,Rural,Furnished,6288711
3702,5,1,7,1,Urban,Semi-Furnished,11596962
1146,1,3,20,0,Rural,Unfurnished,3508039
2568,2,3,14,2,Urban,Semi-Furnished,8092561
3388,4,2,21,1,Rural,Semi-Furnished,10427483
2714,1,3,19,0,Rural,Unfurnished,8291871
1797,1,1,27,1,Urban,Unfurnished,5668395
2935,3,2,13,0,Urban,Unfurnished,9227658
1100,5,2,26,0,Rural,Furnished,3589577
2863,4,2,28,0,Suburban,Furnished,8951350
2561,2,1,8,2,Urban,Semi-Furnished,8020798
741,4,3,7,0,Suburban,Furnished,2726434
2541,2,1,25,0,Urban,Unfurnished,7934417
3324,5,2,27,2,Urban,Unfurnished,10428785
3917,2,1,25,2,Urban,Furnished,12173227
3112,3,1,16,0,Urban,Semi-Furnished,9695957
3445,3,3,1,2,Suburban,Semi-Furnished,10728431
1863,3,3,24,1,Urban,Furnished,6048297
2639,3,2,23,1,Rural,Semi-Furnished,8122894
1890,4,1,29,2,Rural,Semi-Furnished,5895772
3503,5,1,2,2,Suburban,Semi-Furnished,10894581
1978,2,3,7,0,Urban,Unfurnished,6315192
3999,2,1,11,2,Rural,Unfurnished,12096462
3056,3,1,0,0,Suburban,Furnished,9542173
1275,3,1,9,1,Urban,Unfurnished,4172511
534,1,3,19,2,Rural,Semi-Furnished,1770106
2753,5,2,2,0,Rural,Unfurnished,8563665
3652,4,2,5,0,Suburban,Furnished,11380414
2455,2,1,6,1,Urban,Unfurnished,7734010
2085,1,2,19,2,Urban,Semi-Furnished,6589573
3959,1,3,22,1,Rural,Semi-Furnished,12036665
3573,2,3,24,0,Rural,Furnished,10904386
1521,4,2,26,0,Rural,Unfurnished,4775460
3961,1,2,17,2,Urban,Unfurnished,12155221
3113,1,1,10,0,Suburban,Unfurnished,9472474
1629,5,2,18,2,Suburban,Semi-Furnished,5272045
2000,4,1,4,1,Urban,Furnished,6563319
1202,1,1,18,2,Suburban,Unfurnished,3744922
2949,4,3,10,2,Rural,Semi-Furnished,9129706
3277,2,3,23,0,Suburban,Semi-Furnished,10067771
2079,3,3,11,0,Suburban,Semi-Furnished,6557335
661,1,3,9,2,Suburban,Unfurnished,2293015
701,5,2,7,0,Rural,Unfurnished,2401949
2481,2,3,23,0,Urban,Unfurnished,7807714
1495,4,2,27,0,Rural,Unfurnished,4736558
2817,2,3,27,2,Urban,Unfurnished,8792240
1315,1,2,8,0,Urban,Unfurnished,4280756
3842,4,1,3,2,Urban,Unfurnished,11942716
955,3,2,4,0,Suburban,Unfurnished,3133574
1775,2,2,20,1,Suburban,Unfurnished,5598255
1516,1,3,7,0,Urban,Semi-Furnished,4897717
2843,5,2,22,0,Urban,Unfurnished,8989066
3267,4,1,8,2,Suburban,Furnished,10246826
837,2,1,14,2,Rural,Semi-Furnished,2623213
1378,2,3,14,0,Urban,Unfurnished,4517916
1576,3,1,15,1,Rural,Furnished,4994151
1291,3,2,13,0,Suburban,Unfurnished,4157906
2764,5,1,7,0,Urban,Furnished,8788463
1263,5,3,17,1,Rural,Furnished,4176973
2735,1,2,9,2,Rural,Furnished,8441694
879,1,3,27,0,Rural,Furnished,2773651
992,5,2,19,2,Suburban,Semi-Furnished,3406694
3612,5,1,5,2,Suburban,Semi-Furnished,11216008
1680,4,3,11,1,Rural,Furnished,5428474
2562,3,3,1,1,Rural,Unfurnished,7932185
564,1,2,6,2,Suburban,Furnished,2047924
3068,3,3,15,0,Rural,Semi-Furnished,9438417
1867,3,2,2,2,Rural,Unfurnished,5868139
1652,5,2,12,0,Suburban,Semi-Furnished,5326980
2527,4,2,2,0,Rural,Semi-Furnished,7809504
3195,2,2,26,1,Rural,Unfurnished,9717970
1995,4,1,17,0,Rural,Furnished,6227766
3634,4,2,10,0,Suburban,Furnished,11365922
1662,3,3,7,2,Rural,Furnished,5293695
2022,4,1,5,1,Suburban,Furnished,6453796
3140,1,3,0,0,Suburban,Unfurnished,9652543
891,3,1,27,0,Urban,Unfurnished,2963559
2198,1,2,0,1,Urban,Unfurnished,6907139
918,2,1,22,2,Rural,Semi-Furnished,2838802
2836,3,1,7,1,Suburban,Unfurnished,8817843
878,2,3,4,1,Urban,Furnished,3106205
2296,3,3,27,0,Rural,Semi-Furnished,7122750
2778,5,2,15,0,Urban,Furnished,8878159
3565,4,1,10,2,Urban,Furnished,11186516
2588,5,1,4,0,Suburban,Unfurnished,8136492
3599,2,1,3,0,Suburban,Unfurnished,11000086
2682,4,2,29,1,Urban,Furnished,8528480
700,3,2,5,0,Urban,Furnished,2582091
2363,4,2,13,2,Suburban,Semi-Furnished,7460766
1279,1,2,21,1,Rural,Unfurnished,3913737
3477,4,2,18,2,Suburban,Semi-Furnished,10754265
3604,1,3,8,1,Urban,Semi-Furnished,11176990
3619,4,1,11,0,Rural,Semi-Furnished,11106717
1002,1,1,10,1,Urban,Furnished,3331386
2954,2,1,13,1,Rural,Semi-Furnished,8973425
2251,5,1,22,0,Urban,Semi-Furnished,7182254
1304,3,1,15,0,Rural,Furnished,4181863
2646,4,1,0,2,Rural,Unfurnished,8211634
3231,5,1,12,2,Urban,Unfurnished,10225717
2395,3,1,22,0,Rural,Semi-Furnished,7318662
3273,3,3,20,0,Suburban,Furnished,10235988
2070,1,1,20,0,Urban,Unfurnished,6499287
1460,2,3,29,1,Suburban,Semi-Furnished,4669527
3160,2,2,12,1,Urban,Semi-Furnished,9861452
1985,5,1,1,1,Rural,Furnished,6293143
3190,2,2,3,0,Rural,Semi-Furnished,9765391
1528,4,2,27,2,Rural,Unfurnished,4795581
3789,2,2,5,0,Urban,Furnished,11814443
1002,5,3,25,1,Suburban,Unfurnished,3395424
3314,2,2,26,1,Suburban,Unfurnished,10208844
897,4,2,22,0,Urban,Unfurnished,3098984
1370,1,2,26,0,Urban,Semi-Furnished,4359505
3342,5,1,4,1,Suburban,Semi-Furnished,10430699
892,1,1,24,1,Suburban,Unfurnished,2804957
706,1,3,2,1,Suburban,Unfurnished,2349464
1538,1,3,0,0,Suburban,Furnished,4907649
2381,3,1,3,1,Urban,Furnished,7609065
3439,3,3,24,1,Urban,Semi-Furnished,10771661
1984,1,1,19,2,Rural,Semi-Furnished,6018758
1363,5,2,1,0,Suburban,Furnished,4532596
3290,4,2,25,2,Rural,Unfurnished,10086374
3812,4,3,29,2,Urban,Semi-Furnished,11861775
1063,2,1,29,1,Urban,Unfurnished,3458388
1520,5,1,4,0,Rural,Furnished,4883029
595,3,3,2,1,Suburban,Semi-Furnished,2174981
2423,1,1,28,0,Suburban,Semi-Furnished,7396639
2257,2,2,27,2,Suburban,Furnished,7061645
3032,4,3,28,0,Suburban,Semi-Furnished,9411105
3978,3,3,8,1,Rural,Furnished,12221668
2778,3,1,19,1,Rural,Semi-Furnished,8461960
3296,1,3,5,1,Urban,Furnished,10279357
2178,4,1,17,0,Suburban,Semi-Furnished,6844604
3742,5,1,5,2,Suburban,Unfurnished,11637796
1040,3,1,18,2,Suburban,Unfurnished,3369804
1559,1,1,27,0,Rural,Unfurnished,4667626
3072,5,1,11,1,Suburban,Semi-Furnished,9572132
1683,4,3,24,2,Rural,Semi-Furnished,5288951
2222,3,2,10,1,Suburban,Unfurnished,6932449
3814,5,2,1,0,Suburban,Unfurnished,11819065
3657,5,3,14,1,Urban,Furnished,11542130
2319,5,3,11,2,Suburban,Furnished,7534360
3125,3,2,11,2,Suburban,Furnished,9795287
3229,3,2,8,1,Urban,Unfurnished,10102702
3104,2,2,20,0,Rural,Unfurnished,9418993
2097,4,2,23,1,Rural,Unfurnished,6506875
3560,1,2,1,0,Suburban,Furnished,10924054
3193,5,1,21,1,Rural,Semi-Furnished,9886809
1295,2,3,2,2,Suburban,Unfurnished,4209517
1551,1,1,11,0,Urban,Semi-Furnished,4937368
2143,2,2,27,0,Urban,Semi-Furnished,6714670
1863,3,2,29,0,Suburban,Semi-Furnished,5840112
2481,5,2,25,2,Urban,Furnished,8061388
1854,1,1,15,1,Urban,Semi-Furnished,5871156
2163,1,1,20,2,Suburban,Unfurnished,6647307
2029,1,2,27,0,Suburban,Furnished,6340087
2538,1,1,23,1,Urban,Unfurnished,7865922
3919,1,1,25,2,Rural,Unfurnished,11840080
1996,2,2,29,0,Rural,Furnished,6213348
3802,5,1,0,0,Suburban,Unfurnished,11815335
2737,3,3,20,2,Suburban,Unfurnished,8527312
3796,3,3,2,2,Rural,Furnished,11760985
1908,3,3,19,2,Urban,Unfurnished,6173608
1900,3,3,1,0,Rural,Semi-Furnished,5977962
1806,2,2,8,2,Rural,Unfurnished,5592277
3180,4,2,18,0,Rural,Semi-Furnished,9745551
3175,5,2,14,2,Rural,Unfurnished,9886813
1472,1,3,17,0,Suburban,Furnished,4708597
2268,4,3,25,0,Suburban,Furnished,7219212
1782,3,1,10,1,Urban,Unfurnished,5685637
3930,4,1,24,2,Urban,Furnished,12285258
1209,5,3,22,2,Urban,Unfurnished,4148693
1979,1,3,15,0,Urban,Furnished,6286824
1934,1,3,21,0,Rural,Semi-Furnished,5876950
1148,5,3,16,0,Suburban,Unfurnished,3825488
817,5,1,4,1,Suburban,Semi-Furnished,2793215
3796,3,3,11,1,Urban,Semi-Furnished,11787523
1757,1,1,10,0,Urban,Unfurnished,5556900
1183,4,3,29,2,Rural,Semi-Furnished,3839689
1163,2,3,14,2,Rural,Unfurnished,3664834
2498,2,3,26,1,Urban,Semi-Furnished,7836474
3945,5,1,2,1,Suburban,Unfurnished,12224066
2131,3,1,0,0,Suburban,Unfurnished,6722871
1995,2,2,19,2,Suburban,Furnished,6287400
3804,1,3,28,0,Urban,Unfurnished,11656345
1636,5,2,15,1,Suburban,Unfurnished,5291896
2353,4,2,1,2,Rural,Semi-Furnished,7392430
2020,5,1,1,2,Rural,Unfurnished,6356899
2989,4,1,2,1,Urban,Furnished,9471229
1063,5,2,7,0,Rural,Semi-Furnished,3440583
1791,5,3,23,0,Urban,Semi-Furnished,5821897
3957,5,1,27,2,Suburban,Furnished,12338537
3958,4,3,14,1,Suburban,Semi-Furnished,12210567
3684,4,3,6,2,Suburban,Semi-Furnished,11494807
2136,5,2,5,1,Rural,Semi-Furnished,6755239
3499,2,2,8,0,Urban,Semi-Furnished,10804329
3652,3,2,19,1,Suburban,Furnished,11349792
1198,3,2,27,0,Urban,Furnished,3980228
2660,3,1,0,1,Suburban,Semi-Furnished,8320282
501,4,1,7,2,Rural,Semi-Furnished,1791214
1141,4,2,22,0,Rural,Furnished,3706052
2767,2,1,22,2,Urban,Furnished,8714769
2089,3,2,2,2,Rural,Furnished,6589032
1354,3,3,3,0,Rural,Semi-Furnished,4334721
2259,5,3,25,0,Urban,Semi-Furnished,7250686
3796,4,3,24,2,Suburban,Unfurnished,11796981
2932,3,2,14,2,Rural,Furnished,9146802
3974,2,3,5,2,Urban,Semi-Furnished,12355261
2161,2,1,14,2,Rural,Furnished,6657809
1653,3,3,20,0,Rural,Semi-Furnished,5150785
1576,4,3,2,0,Rural,Furnished,5080547
2207,2,3,24,2,Rural,Semi-Furnished,6795818
3277,5,1,20,1,Urban,Unfurnished,10312927
2195,2,2,20,1,Urban,Unfurnished,6940681
2233,1,1,13,0,Urban,Furnished,7062465
1939,1,2,19,2,Rural,Semi-Furnished,5968862
2794,4,2,13,2,Rural,Semi-Furnished,8701527
1335,3,3,3,0,Rural,Furnished,4306333
702,4,2,11,1,Urban,Semi-Furnished,2530576
3755,4,1,16,1,Rural,Furnished,11552405
622,4,1,6,1,Suburban,Semi-Furnished,2248000
900,4,2,8,0,Rural,Furnished,3047779
1266,5,3,2,1,Suburban,Semi-Furnished,4235601
793,5,3,27,0,Rural,Furnished,2762946
2827,2,1,12,0,Urban,Semi-Furnished,8804356
3431,1,3,14,2,Rural,Unfurnished,10447116
697,4,2,17,1,Suburban,Semi-Furnished,2449894
3529,2,2,18,0,Suburban,Furnished,10875635
2430,1,1,0,1,Rural,Unfurnished,7347465
3299,3,2,5,1,Suburban,Semi-Furnished,10223754
2691,5,1,26,2,Suburban,Unfurnished,8488975
1108,1,2,26,1,Urban,Semi-Furnished,3644850
3772,3,1,22,2,Rural,Unfurnished,11527119
1647,1,3,26,0,Rural,Furnished,5151691
686,5,2,26,1,Rural,Semi-Furnished,2324871
3897,5,2,1,0,Suburban,Semi-Furnished,12111874
3011,2,1,23,1,Rural,Furnished,9244733
3920,4,1,13,0,Rural,Unfurnished,11943511
2294,1,2,5,1,Urban,Furnished,7312960
1159,1,1,13,1,Urban,Furnished,3829821
3311,3,2,3,1,Urban,Unfurnished,10372776
3502,5,3,20,1,Suburban,Furnished,11026167
2455,1,1,7,1,Rural,Semi-Furnished,7476135
2950,5,2,29,1,Urban,Semi-Furnished,9316462
1869,1,3,2,1,Urban,Semi-Furnished,5974382
2486,2,3,18,1,Urban,Furnished,7952194
2034,4,2,29,1,Rural,Semi-Furnished,6306574
646,1,1,13,0,Rural,Semi-Furnished,1983910
3719,5,2,26,2,Rural,Semi-Furnished,11478531
3411,2,3,19,1,Suburban,Semi-Furnished,10480186
2234,1,2,16,2,Suburban,Semi-Furnished,6964781
2343,3,1,24,1,Urban,Semi-Furnished,7353813
988,4,3,7,1,Rural,Furnished,3368812
3476,1,2,23,0,Urban,Semi-Furnished,10727525
2459,2,1,13,0,Rural,Semi-Furnished,7509282
2163,3,3,25,2,Rural,Unfurnished,6687557
3098,2,1,5,0,Rural,Furnished,9472060
2885,2,3,22,0,Suburban,Furnished,8989866
3419,3,2,21,2,Suburban,Furnished,10667104
1140,2,1,15,0,Rural,Furnished,3634577
2302,3,3,24,1,Urban,Semi-Furnished,7274080
3020,1,1,18,2,Rural,Semi-Furnished,9107854
2469,3,1,13,2,Rural,Unfurnished,7618695
2698,3,2,18,1,Urban,Unfurnished,8465025
1938,4,1,2,0,Rural,Furnished,6122982
3869,3,3,9,2,Urban,Unfurnished,12060081
2134,3,3,18,2,Suburban,Unfurnished,6700368
762,1,3,8,1,Suburban,Furnished,2659621
2287,4,3,27,1,Urban,Furnished,7374094
2691,5,2,19,0,Suburban,Unfurnished,8441040
2893,1,1,12,2,Suburban,Semi-Furnished,8891766
1123,1,2,6,0,Urban,Unfurnished,3700053
1516,5,1,13,0,Suburban,Unfurnished,4875991
1380,3,1,8,1,Rural,Semi-Furnished,4275301
2549,2,1,26,2,Rural,Semi-Furnished,7743610
3444,4,2,27,2,Urban,Furnished,10889463
1827,2,1,22,2,Suburban,Furnished,5771678
2801,5,2,24,1,Rural,Unfurnished,8659466
952,1,3,27,1,Rural,Semi-Furnished,2992440
3608,1,3,18,1,Suburban,Furnished,11118875
1683,4,1,14,1,Suburban,Unfurnished,5347081
3562,1,2,19,1,Rural,Semi-Furnished,10752354
2556,1,3,13,2,Rural,Unfurnished,7865297
3804,4,2,23,0,Urban,Furnished,11874300
3670,4,2,5,2,Urban,Furnished,11594384
2182,5,1,20,0,Rural,Semi-Furnished,6831027
3363,1,3,28,1,Urban,Unfurnished,10403892
2755,1,1,3,0,Rural,Semi-Furnished,8324525
1654,5,1,7,2,Rural,Furnished,5324532
903,3,3,16,2,Urban,Furnished,3193464
2699,3,3,29,0,Urban,Unfurnished,8445562
2601,3,2,8,1,Suburban,Unfurnished,8122514
3691,5,3,0,1,Suburban,Unfurnished,11557219
2196,1,2,23,2,Suburban,Semi-Furnished,6774634
1127,5,2,19,0,Rural,Unfurnished,3603060
1086,5,2,24,1,Urban,Unfurnished,3699269
2148,3,3,13,1,Rural,Furnished,6771143
1943,2,1,10,2,Urban,Furnished,6232065
1945,1,2,20,1,Rural,Unfurnished,5877895
603,3,1,2,0,Suburban,Unfurnished,2115859
753,2,1,8,2,Suburban,Furnished,2555352
3798,2,3,26,2,Suburban,Unfurnished,11671737
3683,4,1,13,0,Rural,Semi-Furnished,11299426
3057,1,1,29,2,Urban,Semi-Furnished,9415016
1996,2,3,8,1,Urban,Semi-Furnished,6393304
598,3,2,3,1,Suburban,Unfurnished,2079962
2700,4,1,26,0,Suburban,Furnished,8441302
2384,1,3,3,1,Suburban,Unfurnished,7441382
3461,5,1,27,0,Suburban,Unfurnished,10663011
2419,3,1,7,0,Urban,Furnished,7672782
1377,2,2,1,1,Rural,Furnished,4406691
837,2,1,8,0,Rural,Furnished,2694725
3369,3,3,28,1,Rural,Semi-Furnished,10270196
3734,2,1,13,2,Rural,Unfurnished,11339459
1456,4,2,21,2,Suburban,Furnished,4843245
2204,1,2,8,0,Suburban,Unfurnished,6834863
660,4,3,23,1,Suburban,Semi-Furnished,2326769
2103,2,2,22,1,Rural,Semi-Furnished,6419700
3348,5,1,15,2,Suburban,Furnished,10544356
897,1,2,28,2,Suburban,Furnished,2991427
1800,1,3,29,1,Urban,Unfurnished,5657269
1315,3,2,16,0,Urban,Furnished,4396880
2027,3,2,15,2,Suburban,Unfurnished,6359320
2419,5,2,29,0,Urban,Furnished,7788589
1915,1,3,11,0,Urban,Unfurnished,6089276
1658,5,2,2,2,Suburban,Unfurnished,5405897
1718,3,2,10,0,Suburban,Unfurnished,5452565
900,3,1,13,0,Suburban,Unfurnished,2934930
1139,1,3,17,1,Suburban,Semi-Furnished,3650233
3604,4,2,20,0,Rural,Unfurnished,11064821
3235,2,3,20,1,Rural,Furnished,9919380
959,3,2,4,2,Suburban,Semi-Furnished,3245896
1454,3,2,15,2,Urban,Semi-Furnished,4802934
969,4,2,19,1,Suburban,Unfurnished,3254830
3946,4,1,4,2,Suburban,Semi-Furnished,12155529
1545,5,1,2,0,Urban,Unfurnished,5155598
3297,5,1,11,0,Rural,Furnished,10261987
2193,2,3,0,0,Suburban,Unfurnished,6868178
2585,2,3,20,2,Suburban,Semi-Furnished,8001937
2777,1,1,28,0,Rural,Furnished,8424886
3936,5,3,8,2,Rural,Unfurnished,12171699
1062,3,2,28,0,Urban,Furnished,3646396
2985,5,2,8,1,Rural,Furnished,9389678
2299,3,2,3,2,Rural,Semi-Furnished,7116279
3854,4,1,2,2,Rural,Furnished,11896106
2574,5,3,16,0,Urban,Semi-Furnished,8259737
725,4,1,1,2,Rural,Furnished,2513544
3848,2,3,23,2,Rural,Unfurnished,11686997
1297,2,2,0,1,Urban,Furnished,4386711
2831,1,1,7,1,Rural,Unfurnished,8569860
3426,5,3,12,0,Rural,Unfurnished,10547225
1459,4,3,22,1,Urban,Furnished,4932470
2004,3,2,14,0,Suburban,Unfurnished,6307656
952,2,1,7,0,Urban,Furnished,3253880
3567,2,1,11,0,Rural,Furnished,10900078
1315,3,1,21,2,Rural,Unfurnished,4161646
1158,4,2,11,1,Rural,Unfurnished,3758290
1046,4,1,13,0,Urban,Semi-Furnished,3548633
1715,5,2,14,1,Rural,Unfurnished,5423655
3620,5,2,14,0,Rural,Semi-Furnished,11135601
516,1,2,8,1,Urban,Unfurnished,1815114
3743,2,3,18,1,Suburban,Furnished,11559502
1743,5,1,25,0,Suburban,Unfurnished,5558768
2705,4,1,19,2,Rural,Furnished,8425128
3024,3,2,28,1,Urban,Furnished,9496028
1569,4,2,21,2,Rural,Furnished,5050565
3944,2,1,7,2,Urban,Semi-Furnished,12221123
3065,4,2,20,0,Urban,Unfurnished,9600333
2646,1,1,18,0,Suburban,Furnished,8115174
2268,2,3,5,0,Suburban,Furnished,7149398
1560,3,2,19,1,Urban,Semi-Furnished,5057929
2827,1,1,24,0,Rural,Unfurnished,8467321
3920,2,2,28,0,Suburban,Unfurnished,12009971
3044,3,1,18,1,Rural,Semi-Furnished,9301421
801,1,1,3,1,Suburban,Semi-Furnished,2619635
680,1,2,22,0,Suburban,Unfurnished,2179760
1106,2,3,6,0,Rural,Semi-Furnished,3457360
3670,5,1,27,0,Suburban,Unfurnished,11296313
1199,1,1,27,0,Suburban,Unfurnished,3758998
1492,1,1,3,2,Rural,Furnished,4625801
1639,3,3,21,2,Suburban,Furnished,5299130
690,4,3,11,0,Suburban,Unfurnished,2402271
2800,2,2,12,2,Suburban,Unfurnished,8642075
1480,2,3,2,1,Rural,Unfurnished,4614984
3475,5,2,21,2,Urban,Unfurnished,10971095
2506,5,2,11,2,Rural,Unfurnished,7856942
1684,2,3,1,0,Urban,Unfurnished,5402861
3827,5,2,23,2,Suburban,Semi-Furnished,11933970
3894,3,3,1,2,Urban,Unfurnished,12192203
627,2,2,26,2,Rural,Semi-Furnished,2050376
2565,5,3,22,2,Rural,Semi-Furnished,8042247
2316,2,3,8,1,Suburban,Unfurnished,7261101
2258,4,2,0,0,Urban,Unfurnished,7204977
3113,1,1,7,0,Suburban,Semi-Furnished,9505617
1069,2,2,22,1,Suburban,Semi-Furnished,3450473
1846,1,3,5,2,Rural,Unfurnished,5744654
2395,5,1,5,1,Urban,Unfurnished,7713177
3233,1,2,21,2,Urban,Semi-Furnished,10029902
1125,2,2,24,1,Urban,Semi-Furnished,3749172
3859,4,2,17,0,Urban,Semi-Furnished,11968630
3401,5,1,16,0,Suburban,Furnished,10601056
2186,2,3,28,0,Suburban,Semi-Furnished,6749382
3509,5,2,11,2,Rural,Furnished,10940739
654,3,2,5,2,Suburban,Unfurnished,2333685
3037,1,2,25,1,Suburban,Unfurnished,9289639
1909,3,2,26,1,Rural,Semi-Furnished,5914838
1284,2,2,7,0,Rural,Unfurnished,3994041
3675,4,3,18,2,Rural,Unfurnished,11269992
3964,5,3,27,1,Suburban,Unfurnished,12320394
745,1,2,9,2,Suburban,Unfurnished,2484657
3747,5,1,0,2,Rural,Furnished,11618160
3610,2,3,24,0,Rural,Furnished,11047156
2000,5,1,28,0,Rural,Semi-Furnished,6225375
2205,1,3,12,2,Suburban,Semi-Furnished,6907442
3306,2,2,16,2,Suburban,Semi-Furnished,10155572
1037,5,3,2,2,Urban,Unfurnished,3641136
2390,4,2,7,2,Suburban,Unfurnished,7567868
2341,2,3,13,0,Suburban,Furnished,7399263
1420,2,2,2,1,Suburban,Furnished,4598167
2955,4,2,15,0,Rural,Semi-Furnished,9060479
1024,3,2,12,1,Suburban,Furnished,3439376
3375,1,2,19,2,Rural,Furnished,10271823
2029,3,1,23,1,Urban,Furnished,6541456
3450,5,2,16,0,Urban,Furnished,10877585
535,4,1,12,0,Rural,Furnished,1858272
1184,3,1,28,2,Rural,Semi-Furnished,3692619
519,2,2,5,0,Rural,Semi-Furnished,1732069
2868,5,1,16,2,Suburban,Furnished,9061895
3059,5,3,13,0,Urban,Semi-Furnished,9644720
899,3,2,16,0,Rural,Unfurnished,2844267
3201,3,1,29,2,Suburban,Furnished,9910696
1471,4,2,7,1,Urban,Unfurnished,4858968
2406,1,2,10,0,Suburban,Semi-Furnished,7411364
3018,3,2,19,1,Urban,Semi-Furnished,9419345
1666,3,1,27,0,Suburban,Unfurnished,5225567
1615,2,3,0,0,Urban,Semi-Furnished,5276229
3925,5,3,25,0,Urban,Furnished,12356607
1333,1,1,6,0,Suburban,Unfurnished,4136385
2323,2,2,20,1,Rural,Furnished,7222658
3274,4,1,20,1,Urban,Unfurnished,10248900
2482,4,1,16,0,Rural,Semi-Furnished,7662244
1353,3,1,29,0,Suburban,Unfurnished,4296425
550,3,2,9,1,Rural,Unfurnished,1890518
1074,4,1,10,2,Rural,Furnished,3584844
3761,3,2,21,2,Rural,Semi-Furnished,11473919
1648,1,1,29,1,Rural,Furnished,5106697
2697,3,3,8,0,Rural,Semi-Furnished,8322196
2861,5,1,8,0,Urban,Furnished,9156401
3117,3,1,23,2,Urban,Unfurnished,9675495
3913,2,3,4,2,Urban,Furnished,12235755
2852,1,2,16,1,Suburban,Semi-Furnished,8771684
2215,2,2,8,2,Rural,Semi-Furnished,6812324
1181,2,1,16,1,Urban,Unfurnished,3889929
1337,5,3,23,2,Suburban,Semi-Furnished,4396552
1577,1,2,20,2,Urban,Furnished,5122272
3550,1,1,18,2,Urban,Unfurnished,10919853
2991,1,3,26,0,Rural,Semi-Furnished,9043924
3160,1,2,6,0,Suburban,Semi-Furnished,9702462
3540,1,2,22,0,Rural,Furnished,10812387
2811,5,3,8,2,Rural,Furnished,8850889
3624,3,3,6,1,Urban,Unfurnished,11324675
2095,2,3,12,1,Rural,Semi-Furnished,6494591
3551,1,3,10,1,Suburban,Furnished,10993190
504,3,1,13,1,Rural,Unfurnished,1658634
1626,3,3,18,0,Rural,Semi-Furnished,5064363
1719,2,2,10,0,Rural,Semi-Furnished,5310752
1273,5,2,12,2,Urban,Unfurnished,4372004
1376,4,1,13,2,Suburban,Unfurnished,4478398
1491,4,2,12,1,Urban,Furnished,5057458
3431,3,2,0,0,Urban,Semi-Furnished,10693718
3921,2,3,7,1,Urban,Semi-Furnished,12191916
546,4,2,11,2,Urban,Semi-Furnished,2092870
3414,3,1,18,2,Urban,Unfurnished,10613394
3370,5,3,11,1,Suburban,Furnished,10630057
3483,4,3,7,2,Rural,Semi-Furnished,10794795
3203,3,1,7,1,Urban,Unfurnished,10025409
768,3,3,28,0,Urban,Semi-Furnished,2651016
869,1,3,20,1,Suburban,Furnished,2899137
1135,5,1,12,0,Suburban,Semi-Furnished,3711153
1629,1,3,11,0,Rural,Furnished,5042853
2193,2,1,28,2,Suburban,Furnished,6835379
2182,1,1,15,2,Rural,Semi-Furnished,6601792
